Time_s,Voltage_V
-0.000350000,-0.004350
-0.000348000,-0.000610
-0.000346000,-0.003080
-0.000344000,-0.002070
-0.000342000,-0.002890
-0.000340000,0.001120
-0.000338000,0.002520
-0.000336000,0.001430
-0.000334000,0.005700
-0.000332000,0.000380
-0.000330000,-0.000780
-0.000328000,0.001560
-0.000326000,0.002240
-0.000324000,0.002710
-0.000322000,0.002480
-0.000320000,-0.000230
-0.000318000,-0.002820
-0.000316000,0.000270
-0.000314000,0.001870
-0.000312000,-0.001350
-0.000310000,0.000350
-0.000308000,-0.000080
-0.000306000,0.000670
-0.000304000,0.003940
-0.000302000,0.002750
-0.000300000,-0.002260
-0.000298000,0.000250
-0.000296000,-0.001510
-0.000294000,-0.001630
-0.000292000,0.002300
-0.000290000,0.001190
-0.000288000,-0.002450
-0.000286000,0.000060
-0.000284000,0.000170
-0.000282000,-0.001500
-0.000280000,0.001970
-0.000278000,-0.002510
-0.000276000,0.000330
-0.000274000,-0.000660
-0.000272000,-0.000710
-0.000270000,-0.002890
-0.000268000,0.003010
-0.000266000,0.001960
-0.000264000,-0.000300
-0.000262000,-0.002270
-0.000260000,0.001030
-0.000258000,-0.002680
-0.000256000,-0.001750
-0.000254000,0.000740
-0.000252000,-0.001270
-0.000250000,0.003340
-0.000248000,0.003070
-0.000246000,0.002000
-0.000244000,0.000440
-0.000242000,-0.000870
-0.000240000,0.000620
-0.000238000,-0.000760
-0.000236000,0.005460
-0.000234000,0.000100
-0.000232000,-0.001380
-0.000230000,0.004680
-0.000228000,-0.002430
-0.000226000,-0.000190
-0.000224000,-0.001980
-0.000222000,0.002770
-0.000220000,0.000190
-0.000218000,0.000540
-0.000216000,0.000470
-0.000214000,0.001110
-0.000212000,0.000430
-0.000210000,0.002270
-0.000208000,0.002120
-0.000206000,0.004160
-0.000204000,0.002430
-0.000202000,-0.000780
-0.000200000,-0.003270
-0.000198000,0.001180
-0.000196000,0.000080
-0.000194000,-0.001120
-0.000192000,-0.004340
-0.000190000,-0.000010
-0.000188000,-0.001460
-0.000186000,-0.000260
-0.000184000,-0.001030
-0.000182000,-0.003230
-0.000180000,-0.001190
-0.000178000,0.001600
-0.000176000,-0.000560
-0.000174000,0.000110
-0.000172000,0.000620
-0.000170000,0.003350
-0.000168000,0.000300
-0.000166000,-0.001690
-0.000164000,0.002320
-0.000162000,-0.000990
-0.000160000,-0.000940
-0.000158000,-0.000810
-0.000156000,-0.001290
-0.000154000,0.000830
-0.000152000,-0.001500
-0.000150000,0.002230
-0.000148000,0.000530
-0.000146000,-0.000390
-0.000144000,-0.001700
-0.000142000,0.001800
-0.000140000,-0.001150
-0.000138000,0.000970
-0.000136000,-0.002770
-0.000134000,0.000750
-0.000132000,0.004870
-0.000130000,0.000710
-0.000128000,-0.003020
-0.000126000,-0.000270
-0.000124000,-0.000760
-0.000122000,0.001680
-0.000120000,0.001230
-0.000118000,0.001980
-0.000116000,-0.000040
-0.000114000,0.000760
-0.000112000,0.000560
-0.000110000,0.000180
-0.000108000,0.000500
-0.000106000,0.001760
-0.000104000,0.001910
-0.000102000,0.000070
-0.000100000,0.000730
-0.000098000,0.003520
-0.000096000,0.001810
-0.000094000,-0.002220
-0.000092000,-0.000710
-0.000090000,0.002480
-0.000088000,0.000330
-0.000086000,0.000210
-0.000084000,0.001710
-0.000082000,0.001710
-0.000080000,-0.001410
-0.000078000,0.004240
-0.000076000,0.000690
-0.000074000,-0.001380
-0.000072000,0.000170
-0.000070000,-0.000530
-0.000068000,0.002160
-0.000066000,0.000340
-0.000064000,-0.004660
-0.000062000,-0.000550
-0.000060000,0.003250
-0.000058000,-0.000160
-0.000056000,0.000730
-0.000054000,-0.001360
-0.000052000,0.002020
-0.000050000,-0.003850
-0.000048000,-0.001640
-0.000046000,0.001240
-0.000044000,-0.002410
-0.000042000,0.000950
-0.000040000,-0.000180
-0.000038000,-0.002370
-0.000036000,-0.004850
-0.000034000,0.003690
-0.000032000,-0.004060
-0.000030000,0.002230
-0.000028000,0.003190
-0.000026000,-0.001800
-0.000024000,-0.000530
-0.000022000,-0.002110
-0.000020000,-0.003030
-0.000018000,-0.001230
-0.000016000,0.002210
-0.000014000,-0.000460
-0.000012000,-0.001430
-0.000010000,0.000910
-0.000008000,0.000370
-0.000006000,0.001720
-0.000004000,-0.002180
-0.000002000,-0.001870
0.000000000,-0.147650
0.000002000,-0.150130
0.000004000,-0.143020
0.000006000,-0.143480
0.000008000,-0.136660
0.000010000,-0.137980
0.000012000,-0.132770
0.000014000,-0.133440
0.000016000,-0.132450
0.000018000,-0.127860
0.000020000,-0.126800
0.000022000,-0.121270
